artist;month;year;Date;days_to_event;addressCountry;addressLocality;geocoordinates;distance_from_Sesto;popularity;specific_genre
animals as leaders;3;2025;01/03/2025 19:00;134;Germany;Berlin;(52.49, 13.42);832.1;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;02/03/2025 19:00;135;Germany;Leipzig;(51.32, 12.33);683.3;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;04/03/2025 19:00;137;Czech Republic;Prague;(50.09, 14.43);639.0;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;05/03/2025 19:00;138;Austria;Vienna;(48.17, 16.42);621.6;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;06/03/2025 19:00;139;Italy;Milan;(45.44, 9.2);10.3;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;07/03/2025 19:00;140;Switzerland;Zurich;(47.38, 8.53);212.6;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;09/03/2025 19:00;142;Germany;München;(48.13, 11.59);340.5;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;10/03/2025 19:00;143;Germany;Frankfurt Am Main;(50.14, 8.74);513.9;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;11/03/2025 19:00;144;Germany;Köln;(50.97, 7.01);626.9;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;12/03/2025 19:00;145;Netherlands;Tilburg;(51.56, 5.09);736.6;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;12/03/2025 19:00;145;Netherlands;Doorwerth;(51.98, 5.8);760.1;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;14/03/2025 19:00;147;United Kingdom;Manchester;(53.48, -2.25);1210.8;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
animals as leaders;3;2025;15/03/2025 19:00;148;United Kingdom;London;(51.54, -0.15);961.1;50;{'metal', 'fusion', 'instrumental', 'djent', 'progressive', 'rock', 'jazz'}
apparat;11;2024;29/11/2024 22:00;43;United Kingdom;North London;(51.55, -0.12);960.3;48;{'electronica', 'hop', 'ambient', 'pop', 'indietronica', 'glitch', 'trip'}
alcest;10;2024;21/10/2024 20:00;3;Croatia;Zagreb;(45.8, 15.97);525.9;48;{'post-metal', 'atmospheric', 'metal', 'shoegaze', 'blackgaze', 'french', 'post-black', 'black', 'emotional'}
alcest;10;2024;23/10/2024 18:30;5;Greece;Athina;(38.0, 23.72);1463.1;48;{'post-metal', 'atmospheric', 'metal', 'shoegaze', 'blackgaze', 'french', 'post-black', 'black', 'emotional'}
alcest;10;2024;24/10/2024 18:30;6;Greece;Thessaloniki;(40.63, 22.96);1241.3;48;{'post-metal', 'atmospheric', 'metal', 'shoegaze', 'blackgaze', 'french', 'post-black', 'black', 'emotional'}
