name;startDate;url;artist;addressCountry;addressLocality;streetAddress;postalCode;coordinates
Kamasi Washington @ Carlswerk;2025-04-17T20:00:00;https://www.bandsintown.com/e/105423955-kamasi-washington-at-carlswerk?came_from=209;Kamasi Washington;Germany;Köln;Schanzenstraße 6-20;51063;(50.9665127, 7.0131747)
Kamasi Washington @ Batschkapp;2025-04-19T20:00:00;https://www.bandsintown.com/e/105962750-kamasi-washington-at-batschkapp?came_from=209;Kamasi Washington;Germany;Frankfurt Am Main;Gwinnerstraße 5;60388;(50.135439, 8.739144)
Kamasi Washington @ Paradiso;2025-04-20T20:00:00;https://www.bandsintown.com/e/105423965-kamasi-washington-at-paradiso?came_from=209;Kamasi Washington;Netherlands;Amsterdam;Weteringschans 6-8;1017 SG;(52.3621619, 4.8838059)
Kamasi Washington @ Alcatraz;2025-04-22T20:00:00;https://www.bandsintown.com/e/105423751-kamasi-washington-at-alcatraz?came_from=209;Kamasi Washington;Italy;Milan;Via Valtellina 25;20159;(45.494689, 9.182657999999947)
Kamasi Washington @ Auditorium Parco della Musica;2025-04-23T21:00:00;https://www.bandsintown.com/e/105423742-kamasi-washington-at-auditorium-parco-della-musica?came_from=209;Kamasi Washington;Italy;Roma;30 Viale De Coubertin Pietro;00196;(41.9291165, 12.4751908)
Kamasi Washington @ Estragon;2025-04-24T20:00:00;https://www.bandsintown.com/e/105423883-kamasi-washington-at-estragon?came_from=209;Kamasi Washington;Italy;Bologna;83 Via Stalingrado;40128;(44.52369, 11.3690083)
Kamasi Washington @ De Oosterpoort;2025-04-26T20:00:00;https://www.bandsintown.com/e/105440486-kamasi-washington-at-de-oosterpoort?came_from=209;Kamasi Washington;Netherlands;Da Groningen;Trompsingel 27;9724;(53.213947, 6.576351499999987)
Kamasi Washington @ TivoliVredenburg;2025-04-27T20:00:00;https://www.bandsintown.com/e/105423976-kamasi-washington-at-tivolivredenburg?came_from=209;Kamasi Washington;Netherlands;Utrecht;Vredenburgkade 11;3511 WC;(52.0924298, 5.1128171)
Kamasi Washington @ CT Theater- Athens, Greece;2025-04-29T18:00:00;https://www.bandsintown.com/e/105627589-kamasi-washington-at-ct-theater-athens-greece?came_from=209;Kamasi Washington;Greece;Athens;;105 58;(37.98376, 23.72784)
Yves Tumor @ Pappy & Harriet's;2024-11-15T19:00:00;https://www.bandsintown.com/e/1033276234-yves-tumor-at-pappy-and-harriet's?came_from=209;Yves Tumor;United States;Pioneertown;53688 Pioneertown Rd;92268;(34.1563658, -116.4930925)
