BiT_url;id;name;genres;followers;popularity;genres_set
https://www.bandsintown.com/a/73753-maybeshewill;33qUIIydEBgWpe58IA0o61;maybeshewill;['british post-rock', 'instrumental post-rock', 'post-rock'];92925;35;{'post-rock', 'british', 'instrumental'}
https://www.bandsintown.com/a/202540-metz;18TNVFTJ6WfeicsMRrdJHI;metz;['canadian punk', 'crank wave', 'indie punk', 'noise pop', 'noise rock', 'post-hardcore'];84306;35;{'canadian', 'indie', 'rock', 'noise', 'crank', 'post-hardcore', 'punk', 'pop', 'wave'}
https://www.bandsintown.com/a/487359-the-end-of-the-ocean;4AXRViJcT2cJ0x1CxSSldW;the end of the ocean;['american post-rock', 'cinematic post-rock', 'instrumental post-rock'];24864;35;{'post-rock', 'american', 'instrumental', 'cinematic'}
https://www.bandsintown.com/a/9035-neurosis;1KHydwFySZY3YcWyo2q2dF;neurosis;['atmospheric post-metal', 'atmospheric sludge', 'doom metal', 'drone metal', 'post-doom metal', 'post-metal', 'progressive sludge', 'sludge metal'];143138;34;{'doom', 'post-doom', 'sludge', 'post-metal', 'atmospheric', 'drone', 'metal', 'progressive'}
https://www.bandsintown.com/a/53688-cynic;5nXldeedEas60jZnMi40p4;cynic;['djent', 'florida death metal', 'jazz metal', 'miami metal', 'progressive metal', 'technical death metal'];120589;34;{'technical', 'jazz', 'death', 'miami', 'metal', 'florida', 'progressive', 'djent'}
https://www.bandsintown.com/a/310307-mouse-on-the-keys;6NVzd3Lv9yMFIf1bsXNLIp;mouse on the keys;['instrumental math rock', 'japanese post-rock', 'math rock', 'modern jazz trio'];69228;34;{'jazz', 'japanese', 'post-rock', 'math', 'rock', 'instrumental', 'trio', 'modern'}
https://www.bandsintown.com/a/379736-thy-catafalque;4sgTqbA7htxYkRRJBPZIom;thy catafalque;['avant-garde metal', 'cosmic black metal', 'hungarian black metal', 'hungarian metal', 'sci-fi metal', 'slavic metal', 'symphonic death metal'];45741;34;{'avant-garde', 'sci-fi', 'death', 'hungarian', 'black', 'metal', 'cosmic', 'symphonic', 'slavic'}
https://www.bandsintown.com/a/110948-long-distance-calling;3SiCxhceGZgzusCLHd4Zz6;long distance calling;['atmospheric post-metal', 'german post-rock', 'instrumental post-rock', 'post-metal', 'post-rock'];79206;33;{'post-metal', 'german', 'post-rock', 'atmospheric', 'instrumental'}
https://www.bandsintown.com/a/7738225-ghost-bath;37Vukf7o6CBPG68BRDpStb;ghost bath;['atmospheric black metal', 'cosmic black metal', 'voidgaze'];58128;33;{'atmospheric', 'voidgaze', 'black', 'metal', 'cosmic'}
https://www.bandsintown.com/a/207510-il-teatro-degli-orrori;0yytxwS39QiLpI9GM7cOuL;il teatro degli orrori;['indie veneto', 'italian alternative', 'jazzcore'];57709;33;{'italian', 'indie', 'jazzcore', 'alternative', 'veneto'}
https://www.bandsintown.com/a/33187-fantomas;43ltIj8NRBsmOEjDr5Sk10;fantomas;['avant-garde metal', 'supergroup'];107192;32;{'metal', 'avant-garde', 'supergroup'}
https://www.bandsintown.com/a/113148-ben-frost;6qEM4txXHvfMbOUOK9L7pl;ben frost;['ambient', 'australian experimental', 'compositional ambient', 'drone', 'icelandic classical', 'icelandic experimental', 'mandible', 'soundtrack'];67324;32;{'icelandic', 'mandible', 'australian', 'soundtrack', 'drone', 'ambient', 'compositional', 'classical', 'experimental'}
https://www.bandsintown.com/a/12475-car-bomb;5r1fQsxkiQl0VwUlERnDBP;car bomb;['american metalcore', 'avant-garde metal', 'djent', 'mathcore'];65420;32;{'metalcore', 'avant-garde', 'mathcore', 'metal', 'american', 'djent'}
https://www.bandsintown.com/a/1166535-totorro;470SGea4tIbGLTpKcYJfLx;totorro;['french post-rock', 'instrumental math rock', 'math rock'];54852;32;{'french', 'post-rock', 'math', 'rock', 'instrumental'}
https://www.bandsintown.com/a/10638625-shubh-saran;2F9WG9ugzneeesOZfmQ18V;shubh saran;['indian jazz'];29777;32;{'jazz', 'indian'}
https://www.bandsintown.com/a/4690-scale-the-summit;16Uqo1jjtPiKI4zU1Ficgb;scale the summit;['djent', 'instrumental math rock', 'instrumental progressive metal', 'instrumental rock', 'progressive jazz fusion'];102887;31;{'jazz', 'math', 'rock', 'instrumental', 'metal', 'fusion', 'progressive', 'djent'}
https://www.bandsintown.com/a/94965-panopticon;2Mz5qpR3WxbcBwZBsmraWE;panopticon;['appalachian black metal', 'atmospheric black metal', 'autonomous black metal', 'bosnian electronic', 'folk black metal', 'forest black metal', 'kentucky metal', 'post-metal', 'usbm', 'voidgaze'];67023;31;{'bosnian', 'post-metal', 'forest', 'atmospheric', 'kentucky', 'autonomous', 'black', 'metal', 'electronic', 'folk', 'usbm', 'voidgaze', 'appalachian'}
https://www.bandsintown.com/a/1390963-orax;6tlyNmvYttsFm44WqrYEf0;orax;['synthwave'];15374;31;{'synthwave'}
https://www.bandsintown.com/a/1330256-skyharbor;0YbvZPP1HufDyWIsR0ei6K;skyharbor;['djent', 'indian metal'];62687;30;{'metal', 'indian', 'djent'}
https://www.bandsintown.com/a/6897-tera-melos;3K4vimkwmCyjD4g1hEMPjZ;tera melos;['instrumental math rock', 'math pop', 'math rock'];56777;29;{'math', 'rock', 'pop', 'instrumental'}
https://www.bandsintown.com/a/114428-deru;4GolrXXRODq7bAGCod4JoV;deru;['ambient', 'ambient idm', 'drone', 'nu age', 'wonky'];23322;29;{'wonky', 'drone', 'ambient', 'nu', 'idm', 'age'}
